x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554478,-2.10444e-05,0.624481,0.923919,-0.382588,-5.29249e-05,-3.70622e-05,-0.00155885,-0.00155885,-0.00155885,0.00807301,0.00514307,0.00807301,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554476,-2.26321e-05,0.624479,0.923921,-0.382584,-5.69178e-05,-3.98584e-05,-0.00161658,-0.00161658,-0.00161658,0.00837201,0.00533356,0.00837201,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554475,-2.42776e-05,0.624478,0.923922,-0.38258,-6.1056e-05,-4.27563e-05,-0.00167432,-0.00167432,-0.00167432,0.00867101,0.00552404,0.00867101,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554473,-2.59808e-05,0.624476,0.923924,-0.382576,-6.53393e-05,-4.57559e-05,-0.00173205,-0.00173205,-0.00173205,0.00897001,0.00571453,0.00897001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554471,-2.77417e-05,0.624474,0.923926,-0.382572,-6.97679e-05,-4.88571e-05,-0.00178979,-0.00178979,-0.00178979,0.00926901,0.00590501,0.00926901,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554469,-2.95603e-05,0.624472,0.923927,-0.382567,-7.43416e-05,-5.206e-05,-0.00184752,-0.00184752,-0.00184752,0.00956801,0.00609549,0.00956801,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554468,-3.14367e-05,0.624471,0.923929,-0.382563,-7.90606e-05,-5.53646e-05,-0.00190526,-0.00190526,-0.00190526,0.00986701,0.00628598,0.00986701,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554466,-3.33708e-05,0.624469,0.923931,-0.382558,-8.39247e-05,-5.87709e-05,-0.00196299,-0.00196299,-0.00196299,0.010166,0.00647646,0.010166,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554464,-3.53627e-05,0.624467,0.923933,-0.382553,-8.89341e-05,-6.22788e-05,-0.00202073,-0.00202073,-0.00202073,0.010465,0.00666695,0.010465,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554462,-3.74123e-05,0.624465,0.923935,-0.382548,-9.40886e-05,-6.58884e-05,-0.00207846,-0.00207846,-0.00207846,0.010764,0.00685743,0.010764,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
